Titles,Descriptions,Label
ZVISION Announces NVIDIA Isaac Sim Robotics Platform Support to Empower Powerful Tools for Industrial Sensing,"BEIJING, Jan. 7, 2023 /PRNewswire/ -- ZVISION, a leading provider of solid-state MEMS LiDAR solutions, announced at CES2023 that it will work with the NVIDIA Isaac Sim advanced simulator to create powerful tools enabling",1
Telit Cinterion 5G FN980 and FN990 Series Data Cards Validated for Use with NVIDIA Jetson Xavier and Jetson Orin,"Telit Cinterion is one of the first NVIDIA technology partners to validate 5G networking for the NVIDIA® Jetson AGX Orin™ and NVIDIA Jetson Orin NX system-on-modulesIndustrial-grade, M.2 data cards deliver",1
Seeed Studio Announces reComputer J4012 Based on New NVIDIA Jetson Orin NX 16GB System-on-Module,"SHENZHEN, China, Jan. 6, 2023 /PRNewswire/ -- Seeed Studio, an AIoT hardware company and NVIDIA NPN preferred partner, introduced reComputer J40 series powered by the new NVIDIA® Jetson Orin™ NX",1
Aetina Launches New DeviceEdge Embedded Systems and Platforms Powered by NVIDIA Jetson Orin NX and Orin Nano during CES 2023,"NEW TAIPEI CITY, Taiwan, Jan. 5, 2023 /PRNewswire/ -- Aetina, a leading provider of state-of-the-art edge AI solutions, has launched its new NVIDIA® Jetson™-based series of embedded systems and platforms,",1
"NVIDIA (NVDA), Foxconn Team up for Autonomous Vehicle Platform",NVIDIA (NVDA) and Taiwan's Foxconn enter a strategic partnership to develop automated platforms that will get featured in tier-1 electronic vehicles manufactured by Foxconn.,1
PNY GeForce RTX™ 4070 Ti 12GB VERTO; PNY Introduces Latest 40 Series NVIDIA GeForce GPU,"PARSIPPANY, N.J., Jan. 3, 2023 /PRNewswire/ -- PNY announced today the expansion of its revolutionary NVIDIA GeForce® RTX™ 40 Series PNY and XLR8 Gaming family of GPUs with the addition of the new GeForce RTX",1
UPDATE 1-Foxconn to use Nvidia chips to build self-driving vehicle platforms,Chipmaker Nvidia Corp and electronics manufacturer Foxconn announced a partnership on Tuesday to develop autonomous vehicle platforms.,1
"Nvidia, Foxconn to build autonomous vehicle platforms",Chipmaker Nvidia Corp and electronics manufacturer Foxconn announced a partnership on Tuesday to develop autonomous vehicle platforms.,1
"Evozyne Creates AI Model with NVIDIA for Novel Protein Design, Expected to Accelerate Drug Development","New AI model, co-developed by Evozyne and NVIDIA, can create novel therapeutic proteins for a new era of drug development CHICAGO, Jan. 12, 2023 /PRNewswire/ -- Evozyne today revealed a breakthrough AI model, developed",1
Bionano to Accelerate Data Processing Solution for Optical Genome Mapping Workflow with NVIDIA,"SAN DIEGO, Jan. 12, 2023 (GLOBE NEWSWIRE) -- Bionano Genomics, Inc. (NASDAQ:BNGO) today announced a collaboration with NVIDIA to develop an acceleration platform for use in Bionano&#39;s optical genome mapping (OGM)",1
"Nvidia, AMD Stock Have Less Upside, but Are Still Buys, Says Analyst",KeyBanc Capital Markets analyst John Vinh warns that Nvidia and Advanced Micro Devices may get affected by softening demand in China. He's still bullish.,0
"Keybanc Maintains Overweight on NVIDIA, Lowers Price Target to $220",Keybanc analyst John Vinh maintains NVIDIA with a Overweight and lowers the price target from $230 to $220.,0
"Tesla, Nvidia, and AMD Are Leading a Tech-Stock Rally","Some of 2022's biggest laggards, including electric-vehicle giant Tesla and chip stock Nvidia, are surging Monday, outpacing a broad market surge.",1
Nvidia and 2 Other Stocks That Could Be Helped or Hurt by ChatGPT,"The artificial-intelligence-based  bot has taken the AI industry by storm. Wall Street is considering how it could affect Nvidia, Alphabet, and Chegg.",2
"Nvidia CEO says AI will need regulation, social norms",Nvidia Corp Chief Executive Officer Jensen Huang on Tuesday said that the burgeoning field of artificial intelligence will create powerful tools that require legal regulation and social norms that have yet to be worked out.,1
"Truist Securities Maintains Buy on NVIDIA, Raises Price Target to $238",Truist Securities analyst William Stein maintains NVIDIA with a Buy and raises the price target from $198 to $238.,1
"Barclays Maintains Overweight on NVIDIA, Raises Price Target to $250",Barclays analyst Blayne Curtis maintains NVIDIA with a Overweight and raises the price target from $170 to $250.,1
"Altimeter's Brad Gerstner builds a new position in Nvidia, betting on its central role in AI",The tech investor said he initiated the Nvidia position in December and added to it in January.,1
Quest Global Teams with NVIDIA to Build Next-Gen Omniverse Digital Twin Solutions for Manufacturing Industry,"MUNICH, Feb. 2, 2023 /PRNewswire/ -- Quest Global, one of the world&#39;s fastest-growing engineering services firms, announced its development of new services and solutions, based on the NVIDIA Omniverse Enterprise",1
Quest Global Teams with NVIDIA to Build Next-Gen Omniverse Digital Twin Solutions for Manufacturing Industry,"WINDSOR, Conn., Feb. 2, 2023 /PRNewswire/ -- Quest Global, one of the world&#39;s fastest-growing engineering services firms, announced its development of new services and solutions, based on the NVIDIA Omniverse",1
NVIDIA Sets Conference Call for Fourth-Quarter Financial Results,"SANTA CLARA, Calif., Feb. 01, 2023 (GLOBE NEWSWIRE) -- NVIDIA will host a conference call on Wednesday, February 22, at 2 p.m. PT (5 p.m. ET) to discuss its financial results for the fourth quarter and fiscal year",2
Brytlyt becomes NVIDIA Inception Premier Partner,"LONDON, Jan. 31, 2023 /PRNewswire/ -- Brytlyt, the world&#39;s first all-in-one browser-led platform that enables GPU in-database AI with deep learning capabilities, has become a Premier Partner of NVIDIA Inception.",1
"AI Arms Race Will Lift Chip Stocks Nvidia, Broadcom, and Marvell, Says J.P. Morgan","J.P. Morgan analyst Harlan Sur worte that chip stocks Nvidia, Broadcom, and Marvell are best positioned to sell chips to tech giants building artificial-intelligence products.",1
"Independent Cloud Computing Leader Vultr Adds NVIDIA A16 to its A40, A100, and Fractional GPU Offerings","Customers can now access the highest-performance virtual desktop infrastructure (VDI), powered by NVIDIA GPUs, paying only for what they use Vultr, the world&#39;s largest privately-held cloud computing company, today",1
Nvidia-Certified GPU Servers and Clusters Integrated with Nvidia Quantum-2 Infiniband Networking Platform from Koi Computers,"CHICAGO, Feb. 8, 2023 /PRNewswire/ -- Koi Computers, one of the nation&#39;s leading turnkey providers of HPC solutions and a Preferred NVIDIA Solution Provider, will be providing AI developers and scientific researchers",1
"Oppenheimer Maintains Outperform on NVIDIA, Raises Price Target to $250",Oppenheimer analyst Rick Schafer maintains NVIDIA with a Outperform and raises the price target from $225 to $250.,1
"Keybanc Maintains Overweight on NVIDIA, Raises Price Target to $280",Keybanc analyst John Vinh maintains NVIDIA with a Overweight and raises the price target from $220 to $280.,1
"Susquehanna Maintains Positive on NVIDIA, Raises Price Target to $265",Susquehanna analyst Kinngai Chan maintains NVIDIA with a Positive and raises the price target from $185 to $265.,1
"DZ Bank Downgrades NVIDIA to Sell, Announces $195 Price Target",DZ Bank analyst Ingo Wermann downgrades NVIDIA from Buy to Sell and announces $195 price target.,0
"Buy Nvidia Stock Because It Will Lead the AI Arms Race, Says Analyst","BofA Global Research analyst Vivek Arya reiterated a Buy rating on Nvidia stock, and raised his price target on the chip maker's stock to $255 from $215.",1
"B of A Securities Maintains Buy on NVIDIA, Raises Price Target to $255",B of A Securities analyst Vivek Arya maintains NVIDIA with a Buy and raises the price target from $215 to $255.,1
"Paperspace Joins NVIDIA Cloud Service Provider Partner Program as an Elite Member, Bringing Seamless Accelerated Computing to Developers","Paperspace, a leading provider of infrastructure for highly scalable GPU-accelerated applications, today announced that it has joined the NVIDIA Cloud Service Provider partner program&#39;s highest tier. This program",1
"Domino’s Pizza, Wayfair, Nvidia: Stocks That Defined the Week","Domino’s Pizza, Wayfair, Nvidia, Walmart, Bath & Body Works, Moderna and Netflix were seven major stocks that moved on news this past week. ",2
"Meet the $10,000 Nvidia chip powering the race for A.I. ","The $10,000 Nvidia A100has become one of the most critical tools in the artificial intelligence industry,",1
NVIDIA Announces Upcoming Events for Financial Community,"SANTA CLARA, Calif., Feb. 23, 2023 (GLOBE NEWSWIRE) -- NVIDIA will present at the following events for the financial community: Morgan Stanley Technology, Media and Telecom Conference 2023Monday, March 6, 9:10 a.m.",1
Wall Street falls as rate worries outweigh Nvidia cheer,"U.S. stock indexes slipped on Thursday as investors worried that a resilient economy would give the Federal Reserve more room to raise interest rates, although a surge in Nvidia shares helped lift some of that gloom.",1
US STOCKS-Wall Street falls as rate worries outweigh Nvidia cheer,"U.S. stock indexes slipped on Thursday as investors worried that a resilient economy would give the Federal Reserve more room to raise interest rates, although a surge in Nvidia shares helped lift some of that gloom.",1
"Nvidia, Domino's Pizza, Wayfair, Lucid, and More Stock Market Movers","Chip maker Nvidia reports fourth-quarter adjusted earnings that beat analysts' estimates, Wayfair slides after posting a wider-than-expected loss, and Lucid's production forecast for 2023 widely misses expectations.",1
"Stocks making the biggest moves midday: Domino's Pizza, Lucid, Nvidia, Nikola and more ","Nvidia shares spiked, while Domino's Pizza dropped. ",1
Nvidia-led surge in chip stocks lifts Wall Street out of Fed blues,U.S. stock indexes climbed on Thursday as a strong sales forecast from Nvidia boosted chipmakers and outweighed worries that the Federal Reserve will keep raising interest rates for longer after data highlighted a tight labor market.,1
"Raymond James Assumes NVIDIA at Strong Buy, Announces Price Target of $290",Raymond James analyst Chris Caso assumes NVIDIA with a Strong Buy rating and announces Price Target of $290.,1
"Susquehanna Reiterates Positive on NVIDIA, Maintains $265 Price Target",Susquehanna analyst Christopher Rolland reiterates NVIDIA with a Positive and maintains $265 price target.,1
"Nvidia, AMD grapple with latest U.S. curbs on sales to China's Inspur","(Reuters) -Nvidia Corp, Advanced Micro Devices Inc and other U.S. firms are scrambling to assess whether they must halt sales to units of China's Inspur Group Ltd after its addition to a U.S. export blacklist last week.",0
"UPDATE 2-Nvidia, AMD grapple with latest U.S. curbs on sales to China's Inspur","Nvidia Corp, Advanced Micro Devices Inc and other U.S. firms are scrambling to assess whether they must halt sales to units of China's Inspur Group Ltd after its addition to a U.S. export blacklist last week.",0
"UPDATE 3-Nvidia, AMD grapple with latest U.S. curbs on China's Inspur","Nvidia Corp, Advanced Micro Devices Inc and other tech firms are scrambling to assess whether they must halt sales to units of China's Inspur Group Ltd after its addition to a U.S. export blacklist last week.",0
"NVIDIA Hopper H100 is awaited in public cloud, tracked by Liftr Insights data","Leveraging previous trends, such as the NVIDIA A100 in Liftr Insights data, can provide insight into what can be expected. AUSTIN, Texas, March 7, 2023 /PRNewswire/ -- Liftr Insights, a pioneer in market intelligence",1
Nvidia CEO Jensen Huang's bet big on A.I. is paying off as his core technology powers ChatGPT,"A decade ago, Nvidia CEO Jensen Huang pushed the company beyond gaming and into AI, a bet that's paying huge dividends as its chips now power OpenAI's ChatGPT.",1
"Big Fund Sells Chip Stocks AMD, Intel, Nvidia, and Micron","Caisse de Depot et Placement du Quebec, Canada’s second-largest public pension, sold 20% or more of stakes in AMD, Intel, Nvidia, and Micron Technologies stock in the fourth quarter.",1
"Morgan Stanley upgrades Nvidia, says A.I. narrative is 'too strong to remain on sidelines'","Analyst Joseph Moore upgraded Nvidia to overweight from equal weight, saying AI developments outweigh persisting challenges in areas such as gaming.",1
"Morgan Stanley Upgrades NVIDIA to Overweight, Raises Price Target to $304",Morgan Stanley analyst Joseph Moore upgrades NVIDIA from Equal-Weight to Overweight and raises the price target from $255 to $304.,1
NVIDIA Accelerates Neural Graphics PC Gaming Revolution at GDC With New DLSS 3 PC Games and Tools,"SANTA CLARA, Calif., March 16, 2023 (GLOBE NEWSWIRE) -- Ahead of next week&#39;s Game Developers Conference (GDC), NVIDIA announced an expanded game roster and new developer plug-ins for NVIDIA DLSS 3. The latest version",1
Warecorp Joins NVIDIA Partner Network as a Solution Advisor Partner for AI and Data Science Solutions,"MINNEAPOLIS, March 15, 2023 /PRNewswire/ -- Warecorp, an engineering firm specializing in intelligent edge computing, software and hardware operations, and machine learning, today announced that it has joined the NVIDIA",1
SmartCow Releases AI-Enabled Controller Ultron Powered by NVIDIA Jetson Platform for Smart Cities and Autonomous Infrastructure Deployments,"ST. JULIAN&#39;S, Malta, March 14, 2023 /PRNewswire/ -- SmartCow, an AI engineering company specializing in video analytics, AIoT devices, and smart city solutions, and an NVIDIA Metropolis partner, today released a new",1
Aetina Showcases Its Latest AI Solutions at NVIDIA GTC,"NEW TAIPEI CITY, Taiwan, March 23, 2023 /PRNewswire/ -- Aetina, a leading provider of state-of-the-art AI solutions, is participating in NVIDIA GTC, a global conference for the era of AI and the metaverse running through",1
"Needham Maintains Buy on NVIDIA, Raises Price Target to $300",Needham analyst Rajvindra Gill maintains NVIDIA with a Buy and raises the price target from $270 to $300.,1
disguise Announces Collaboration with NVIDIA,The Collaboration Will See disguise Integrate with NVIDIA Omniverse for End-to-End M&amp;E Workflows disguise today announced a new collaboration with NVIDIA to integrate the NVIDIA Omniverse platform with disguise&#39;s,1
"Nvidia sees 'quite large' portion of sales coming from generative AI, CEO says","Nvidia Corp Chief Executive Jensen Huang said Wednesday that generative artificial intelligence will grow from a ""single digit"" portion of the company's revenue in the past year to a ""quite large"" portion of its revenue in the coming year. (Reporting by Stephen Nellis in San Francisco)",1
"Truist Securities Maintains Buy on NVIDIA, Raises Price Target to $289",Truist Securities analyst William Stein maintains NVIDIA with a Buy and raises the price target from $266 to $289.,1
"BMO Capital Maintains Outperform on NVIDIA, Raises Price Target to $305",BMO Capital analyst Ambrish Srivastava maintains NVIDIA with a Outperform and raises the price target from $255 to $305.,1
Weights &amp; Biases Unveils Integrations with NVIDIA AI,"Enhancements accelerate machine learning adoption for the enterprise, unlocking new use cases SAN FRANCISCO, March 22, 2023 /PRNewswire/ -- Weights &amp; Biases today announced integrations and validations with NVIDIA",1
Nvidia Cements 'Dominant AI Leadership' With New Products,"J.P. Morgan, Oppenheimer, and Needham analysts published notes with bullish ratings after Nvidia unveiled new AI products and partnerships.",1
"Tigress Financial Reiterates Buy on NVIDIA, Raises Price Target to $320",Tigress Financial analyst Ivan Feinseth reiterates NVIDIA with a Buy and raises the price target from $250 to $320.,1
"Ampere, NVIDIA Extend AICAN Gaming Platform Ecosystem","SANTA CLARA, Calif., March 30, 2023 (GLOBE NEWSWIRE) -- Ampere Computing and NVIDIA today announced the extension of the AICAN (pronounced &#34;eye-CAN&#34;) game-streaming platform to support more game environments and global",1
"Nvidia Is More Than AI Chips. The Stock Has Software Upside, Says Analyst.",Piper Sandler analyst Harsh Kumar increased his price target on Nvidia stock to $300 from $275 and reaffirmed his Overweight rating.,1
"Nvidia will be the 'grand marshal' of the A.I. bubble 'parade,' says Josh Brown",Shares of Nvidia are up nearly 80% so far this year.,1
"Buy Nvidia Because the Chip Maker Is an AI Play, Says Analyst","Bernstein analyst Stacy Rasgon lifted the price target on Nvidia stock to $300 from $265, and reiterated his Outperform rating. The shares are the ""best way"" to play artificial intelligence, he wrote.",1
"Buy Nvidia Stock Because the Chip Maker Is an AI Play, Says Analyst","Bernstein analyst Stacy Rasgon lifted the price target on Nvidia stock to $300 from $265, and reiterated his Outperform rating. The shares are the ""best way"" to play artificial intelligence, he wrote.",1
"Bernstein Maintains Outperform on NVIDIA, Raises Price Target to $300",Bernstein analyst Stacy Rasgon maintains NVIDIA with a Outperform and raises the price target from $265 to $300.,1
Nvidia shows new research on using AI to improve chip designs,"Nvidia Corp , the world's leading designer of computer chips used in creating artificial intelligence, on Monday showed new research that explains how AI can be used to improve chip design.",1
"Qualcomm, Nvidia spar for top spot in AI chip efficiency tests",Artificial intelligence chips from Qualcomm Inc beat Nvidia Corp in two out of three measures of power efficiency in a new set of test data published on Wednesday.,0
"Google reveals its newest A.I. supercomputer, claims it beats Nvidia ","Google's TPU-based supercomputer, called TPU v4, is ""is 1.2x–1.7x faster and uses 1.3x–1.9x less power than the Nvidia A100,"" Google researchers wrote.",0
"Google says its AI supercomputer is faster, greener than Nvidia A100 chip","Alphabet Inc's Google released on Tuesday new details about the supercomputers it uses to train its artificial intelligence models, saying the systems are both faster and more power-efficient than comparable systems from Nvidia Corp .",0
"Google says its AI supercomputer is faster, greener than Nvidia","Alphabet Inc's Google on Tuesday released new details about the supercomputers it uses to train its artificial intelligence models, saying the systems are both faster and more power-efficient than comparable systems from Nvidia Corp .",0
Insight Receives 2023 Americas Retail Partner of the Year Award From NVIDIA,"Insight Enterprises (NASDAQ:NSIT), a Fortune 500 solutions integrator focused on driving client success through digital transformation, today announced its selection as the first Americas NVIDIA Partner Network (NPN)",1
Nvidia enhances mid-range video gaming chip with AI technology,"Nvidia Corp said on Wednesday it is packing one of its mid-range chips for gamers with more artificial intelligence features to improve graphics, underscoring the importance of gaming for the company despite the segment's slowing revenue.",1
"NVIDIA GeForce RTX 4070 Brings Power of Ada Lovelace Architecture and DLSS 3 to Millions More Gamers and Creators, Starting at $599","SANTA CLARA, Calif., April 12, 2023 (GLOBE NEWSWIRE) -- NVIDIA today announced the GeForce RTX™ 4070 GPU, delivering all the advancements of the NVIDIA® Ada Lovelace architecture — including DLSS 3 neural",1
PNY GeForce RTX™ 4070 12GB VERTO; PNY Introduces Latest 40 Series NVIDIA GeForce GPU,"PARSIPPANY, N.J., April 12, 2023 /PRNewswire/ -- PNY announced today the expansion of its revolutionary NVIDIA GeForce® RTX™ 40 Series PNY and XLR8 Gaming family of GPUs with the addition of the new GeForce",1
"Nvidia and AMD Stock Have Upside on AI Opportunity, Analyst Says","KeyBanc Capital Markets analyst John Vinh raised his price targets on Nvidia and AMD stock, and reaffirmed Overweight ratings. He sees growing demand for artificial-intelligence applications.",1
"Keybanc Maintains Overweight on NVIDIA, Raises Price Target to $320",Keybanc analyst John Vinh maintains NVIDIA with a Overweight and raises the price target from $280 to $320.,1
SoftServe Receives Outstanding Partner of the Year Award from NVIDIA,"SoftServe, a leading software development and IT consulting company, has received the Outstanding Impact Partner of the Year award from NVIDIA in recognition of its significant impact across countries and areas of",2
"Segmed, NVIDIA, and RadImageNet Kickstart Generative AI Initiative for Synthetic Medical Imaging Data","PALO ALTO, Calif., April 19, 2023 /PRNewswire/ -- Segmed - in collaboration with NVIDIA and RadImageNet - today announced a joint effort to generate and commercialize synthetic medical imaging data for research and",1
"Nvidia Stock Is a Buy Because the AI Player Is 'Gaining Steam,' Says Analyst",Piper Sandler analyst Harsh Kumar reiterated his Overweight rating on Nvidia stock and reaffirmed his $300 stock-price forecast.,2
"B of A Securities Maintains Buy on NVIDIA, Raises Price Target to $340",B of A Securities analyst Vivek Arya maintains NVIDIA with a Buy and raises the price target from $310 to $340.,1
"HSBC Upgrades NVIDIA to Buy, Raises Price Target to $355",HSBC analyst Frank Lee upgrades NVIDIA from Reduce to Buy and raises the price target from $175 to $355.,1
"Giant Fund Sells Apple, Tesla, Intel, and Nvidia Stock","Sweden’s national pension cut investments in Apple, Tesla, Intel, and Nvidia. The tech stocks outperformed in the first quarter.",0
DisplayRide Joins NVIDIA Inception,"SAN JOSE, Calif., April 27, 2023 /PRNewswire/ -- DisplayRide Inc. today announced it has joined NVIDIA Inception, a program that nurtures startups revolutionizing industries with technology advancements. DisplayRide is",1
Nvidia releases software tools to help chatbots watch their language,"Nvidia Corp , a major supplier of chips and computing systems for artificial intelligence, on Tuesday released a set of software tools aimed at helping chatbots watch their language.",1
Erste Group Upgrades NVIDIA to Buy,Erste Group analyst Hans Engel upgrades NVIDIA from Hold to Buy.,1
Deloitte Unveils Suite of AI Service Offerings Built on NVIDIA Platforms,"New cross-industry offerings, Compass AI™ and Frontline AI™, announced in conjunction with Deloitte&#39;s recognition as NVIDIA Consulting Partner of the Year for its leading-edge AI services NEW YORK,",1
ANELLO Photonics Joins NVIDIA Inception,"SANTA CLARA, Calif., May 4, 2023 /PRNewswire/ -- ANELLO Photonics, the creator of the SiPhOG™, today announced it has joined NVIDIA Inception, a program designed to nurture startups revolutionizing industries with",1
Protecto Boosts Privacy Protection by 10x with Lightning-Fast GPU Technology from NVIDIA,"Protecto, a leading provider of privacy intelligence solutions, today announced it has been able to boost the performance of its privacy models on NVIDIA GPUs, allowing the discovery of privacy issues up to 10x faster",1
NVIDIA Sets Conference Call for First-Quarter Financial Results,"SANTA CLARA, Calif., May 03, 2023 (GLOBE NEWSWIRE) -- NVIDIA will host a conference call on Wednesday, May 24, at 2 p.m. PT (5 p.m. ET) to discuss its financial results for the first quarter of fiscal year 2024, which",2
Nvidia short sellers lose $5 bln as shares rise more than 90% in 2023,"Nvidia Corp short sellers have lost $5.09 billion so far this year as the stock has jumped more than 90%, according to financial data firm S3 Partners.",1
"Nvidia short interest down 18% YTD, while stock up 91%-S3 Partners","Short interest in Nvidia Corp. is down by 7.04 million shares, or 18%, for the year to date, while the stock is up about 91% so far this year, according to S3 Partners.",1
NVIDIA CEO and Founder Jensen Huang to Keynote Live at COMPUTEX 2023,"TAIPEI, May 3, 2023 /PRNewswire/ -- TAITRA (Taiwan External Trade Development Council) today announced that NVIDIA founder and CEO Jensen Huang will deliver the keynote address in person at COMPUTEX 2023.",1
Appen Teams with NVIDIA to Enable Customized AI Solutions for Enterprises,"The collaboration creates an end-to-end solution that incorporates Appen&#39;s expertise in data for AI and the NVIDIA AI Enterprise platform. Appen Limited (ASX: APX), a global leader in data for the AI Lifecycle, today",1
ON Semi jumps after results while Nvidia hits 13 month high,"ON Semiconductor's shares jumped 7% on Monday after the chipmaker's quarterly guidance beat Wall Street's expectations, spurring other chip stocks with heavyweight Nvidia hitting its highest level in over a year.",1
"Rosenblatt Reiterates Buy on NVIDIA, Maintains $320 Price Target",Rosenblatt analyst Hans Mosesmann reiterates NVIDIA with a Buy and maintains $320 price target.,1
"Truist Securities Maintains Buy on NVIDIA, Raises Price Target to $332",Truist Securities analyst William Stein maintains NVIDIA with a Buy and raises the price target from $289 to $332.,1
Cepton Integrates Award-Winning Adaptive Lidar Model into NVIDIA Omniverse,"Cepton&#39;s Vista®-X120 Plus sensor model available in NVIDIA DRIVE Sim, built on Omniverse to accelerate AV development and reduce cost Cepton, Inc. (&#34;Cepton&#34; or the &#34;Company&#34;) (NASDAQ:CPTN), a Silicon Valley",1
OSS Rigel Edge Supercomputer Receives NVIDIA Certification,"ESCONDIDO, Calif., May 09, 2023 (GLOBE NEWSWIRE) -- One Stop Systems, Inc. (NASDAQ:OSS), a leader in AI Transportable compute and storage solutions at the edge, and a member of the NVIDIA Partner Network (NPN), has",1
Userful Taps Into the Power of NVIDIA GPUs with the Launch of its Infinity Platform for Enhanced Enterprise Operations,"New Unified AV as a Service (AVaaS) Platform Leverages NVIDIA CUDA Cores and Tensor Cores for Advanced Enterprise Applications Userful™, a provider of solutions for core enterprise operations, has announced",1
"MEDICAL IP Is Creating Medical Digital Twins in Virtual Spaces, Powered by NVIDIA Omniverse","MEDIP PRO, a real-time digital twin implementation solution based on medical imaging, is now connected to NVIDIA Omniverse Maximize medical data scalability by sharing and simulating medical-imaging-based digital twins",1
RoboSense Joins NVIDIA Omniverse Ecosystem,"Sensor Maker Integrates LiDAR Model on High-Fidelity Autonomous Vehicle Simulation Platform RoboSense, a world-leading provider of smart LiDAR sensor systems, today announced it is now connected to the NVIDIA",1
"Applied Materials, Farfetch, Alibaba, Palantir, Deere, Nvidia, and More Stock Market Movers","The outlook from Applied Materials disappoints, Farfetch reports a narrower-than-expected first-quarter loss, Deere is scheduled to report earnings Friday, and Nvidia shares approach all-time highs.",1
"Applied Materials, Farfetch, Alibaba, Deere, Nvidia, and More Stock Market Movers","The outlook from Applied Materials disappoints, Farfetch reports a narrower-than-expected first-quarter loss, Deere is scheduled to report earnings Friday, and Nvidia shares approach all-time highs.",1
"GeForce RTX 4060 Family Is Here: NVIDIA&#39;s Revolutionary Ada Lovelace Architecture Comes to Core Gamers Everywhere, Starting at $299","SANTA CLARA, Calif., May 18, 2023 (GLOBE NEWSWIRE) -- NVIDIA today announced the GeForce RTX™ 4060 family of GPUs, with two graphics cards that deliver all the advancements of the NVIDIA® Ada Lovelace",1
"Oppenheimer Maintains Outperform on NVIDIA, Raises Price Target to $350",Oppenheimer analyst Patrick Scholes maintains NVIDIA with a Outperform and raises the price target from $300 to $350.,1
Nvidia-ServiceNow Join Forces to Build AI for Enterprise. It’s a Great Idea.,"The ServiceNow platform will use Nvidia AI software and tools, along with Nvidia DGX hardware infrastructure for artificial-intelligence applications.",1
ServiceNow and NVIDIA Announce Partnership to Build Generative AI Across Enterprise IT,"Built on ServiceNow Platform with NVIDIA AI software and DGX infrastructure, custom large language models to bring intelligent workflow automation to enterprises Knowledge 2023—ServiceNow and NVIDIA today announced a",1
Nvidia CEO Says Those Without AI Expertise Will Be Left Behind,"Firms and individuals should familiarize themselves with artificial intelligence or risk losing out, according to Nvidia Corp. co-founder and Chief Executive Officer Jensen Huang.",1
"The Score: Target, Nvidia, and More Stocks That Defined the Week","The Score: Target, Nvidia, and More Stocks That Defined the Week",1
"Cathie Wood Defends ARKK’s Decision to Dump Nvidia, Citing Chip-Cycle Risks","Cathie Wood defended her firm’s decision to bail on Nvidia Corp. before the chipmaker’s shares surged 160%, saying the computer-chip industry’s boom-bust cycle poses risks.",0
